Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202308060840,The Peak,26.2
202308060840,The Peak,26.2
202308060850,The Peak,26.3
202308060850,The Peak,26.3
202308060850,The Peak,26.3
202308060850,The Peak,26.3
202308060850,The Peak,26.3
202308060850,The Peak,26.3
202308060900,The Peak,26.3
202308060900,The Peak,26.3
202308060900,The Peak,26.3
202308060910,The Peak,26.3
202308060910,The Peak,26.3
202308060910,The Peak,26.3
202308060910,The Peak,26.3
202308060920,The Peak,26.3
202308060920,The Peak,26.3
202308060920,The Peak,26.3
202308060920,The Peak,26.3
202308060920,The Peak,26.3
202308060930,The Peak,26.3
202308060930,The Peak,26.3
202308060930,The Peak,26.3
202308060930,The Peak,26.3
202308060930,The Peak,26.3
202308060940,The Peak,26.2
202308060940,The Peak,26.2
202308060940,The Peak,26.2
202308060940,The Peak,26.2
202308060940,The Peak,26.2
202308060950,The Peak,26.3
202308060950,The Peak,26.3
202308060950,The Peak,26.3
202308060950,The Peak,26.3
202308060950,The Peak,26.3
202308061000,The Peak,26.5
202308061000,The Peak,26.5
202308061000,The Peak,26.5
202308061000,The Peak,26.5
202308061000,The Peak,26.5
202308061000,The Peak,26.5
202308061010,The Peak,26.5
202308061010,The Peak,26.5
202308061010,The Peak,26.5
202308061010,The Peak,26.5
202308061010,The Peak,26.5
202308061010,The Peak,26.5
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061020,The Peak,26.4
202308061030,The Peak,26.3
202308061030,The Peak,26.3
202308061030,The Peak,26.3
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061040,The Peak,26.6
202308061050,The Peak,26.8
202308061050,The Peak,26.8
202308061050,The Peak,26.8
202308061050,The Peak,26.8
202308061050,The Peak,26.8
202308061100,The Peak,26.8
202308061100,The Peak,26.8
202308061100,The Peak,26.8
202308061100,The Peak,26.8
202308061100,The Peak,26.8
202308061110,The Peak,27.3
202308061110,The Peak,27.3
202308061110,The Peak,27.3
202308061120,The Peak,27.9
202308061120,The Peak,27.9
202308061120,The Peak,27.9
202308061120,The Peak,27.9
202308061120,The Peak,27.9
202308061130,The Peak,28.3
202308061130,The Peak,28.3
202308061130,The Peak,28.3
202308061130,The Peak,28.3
202308061140,The Peak,28.5
202308061140,The Peak,28.5
202308061140,The Peak,28.5
202308061140,The Peak,28.5
202308061140,The Peak,28.5
202308061140,The Peak,28.5
202308061150,The Peak,28.8
202308061150,The Peak,28.8
202308061150,The Peak,28.8
202308061150,The Peak,28.8
202308061150,The Peak,28.8
202308061200,The Peak,28.3
202308061200,The Peak,28.3
202308061200,The Peak,28.3
202308061200,The Peak,28.3
202308061210,The Peak,28.1
202308061210,The Peak,28.1
202308061210,The Peak,28.1
202308061210,The Peak,28.1
202308061210,The Peak,28.1
202308061220,The Peak,27.9
202308061220,The Peak,27.9
202308061220,The Peak,27.9
202308061230,The Peak,28.0
202308061230,The Peak,28.0
202308061230,The Peak,28.0
202308061230,The Peak,28.0
202308061230,The Peak,28.0
202308061230,The Peak,28.0
202308061240,The Peak,28.0
202308061240,The Peak,28.0
202308061250,The Peak,27.7
202308061250,The Peak,27.7
202308061250,The Peak,27.7
202308061250,The Peak,27.7
202308061300,The Peak,27.9
202308061300,The Peak,27.9
202308061300,The Peak,27.9
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061310,The Peak,27.7
202308061320,The Peak,27.6
202308061320,The Peak,27.6
202308061320,The Peak,27.6
202308061320,The Peak,27.6
202308061320,The Peak,27.6
202308061320,The Peak,27.6
202308061330,The Peak,28.0
202308061330,The Peak,28.0
202308061330,The Peak,28.0
202308061330,The Peak,28.0
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061340,The Peak,28.3
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061350,The Peak,28.5
202308061400,The Peak,28.2
202308061400,The Peak,28.2
202308061400,The Peak,28.2
202308061400,The Peak,28.2
202308061400,The Peak,28.2
202308061410,The Peak,28.5
202308061410,The Peak,28.5
202308061410,The Peak,28.5
202308061410,The Peak,28.5
202308061420,The Peak,28.4
202308061420,The Peak,28.4
202308061420,The Peak,28.4
202308061420,The Peak,28.4
202308061420,The Peak,28.4
202308061420,The Peak,28.4
202308061430,The Peak,28.6
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061440,The Peak,28.8
202308061450,The Peak,28.6
202308061450,The Peak,28.6
202308061450,The Peak,28.6
202308061500,The Peak,28.6
202308061500,The Peak,28.6
202308061500,The Peak,28.6
202308061510,The Peak,28.5
202308061510,The Peak,28.5
202308061510,The Peak,28.5
202308061510,The Peak,28.5
202308061520,The Peak,28.3
202308061520,The Peak,28.3
202308061520,The Peak,28.3
202308061520,The Peak,28.3
202308061530,The Peak,28.3
202308061530,The Peak,28.3
202308061530,The Peak,28.3
202308061530,The Peak,28.3
202308061530,The Peak,28.3
202308061540,The Peak,28.1
202308061540,The Peak,28.1
202308061540,The Peak,28.1
202308061550,The Peak,28.2
202308061550,The Peak,28.2
202308061550,The Peak,28.2
202308061550,The Peak,28.2
202308061550,The Peak,28.2
202308061600,The Peak,28.0
202308061600,The Peak,28.0
202308061600,The Peak,28.0
202308061600,The Peak,28.0
202308061600,The Peak,28.0
202308061610,The Peak,27.9
202308061610,The Peak,27.9
202308061620,The Peak,28.1
202308061620,The Peak,28.1
202308061620,The Peak,28.1
202308061620,The Peak,28.1
202308061620,The Peak,28.1
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061630,The Peak,27.9
202308061640,The Peak,28.0
202308061640,The Peak,28.0
202308061640,The Peak,28.0
202308061640,The Peak,28.0
202308061650,The Peak,27.9
202308061650,The Peak,27.9
202308061650,The Peak,27.9
202308061650,The Peak,27.9
202308061650,The Peak,27.9
202308061700,The Peak,28.0
202308061700,The Peak,28.0
202308061700,The Peak,28.0
202308061700,The Peak,28.0
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061710,The Peak,27.9
202308061720,The Peak,27.8
202308061720,The Peak,27.8
202308061730,The Peak,27.7
202308061730,The Peak,27.7
202308061730,The Peak,27.7
202308061730,The Peak,27.7
202308061730,The Peak,27.7
202308061740,The Peak,27.5
202308061740,The Peak,27.5
202308061740,The Peak,27.5
202308061740,The Peak,27.5
202308061740,The Peak,27.5
202308061750,The Peak,27.3
202308061750,The Peak,27.3
202308061750,The Peak,27.3
202308061750,The Peak,27.3
202308061750,The Peak,27.3
202308061800,The Peak,27.2
202308061800,The Peak,27.2
202308061800,The Peak,27.2
