Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius),Air Temperature(degree Celsius)
437558138,The Peak,17.5,14.1,15.8
437558188,The Peak,17.5,14.1,15.8
437558188,The Peak,17.5,14.1,15.8
437558198,The Peak,17.5,14.1,15.8
437558198,The Peak,17.5,14.1,15.8
437558208,The Peak,18.0,14.1,16.05
437558208,The Peak,18.0,14.1,16.05
437558218,The Peak,18.1,14.1,16.1
437558218,The Peak,18.1,14.1,16.1
437558228,The Peak,18.1,14.1,16.1
437558228,The Peak,18.1,14.1,16.1
437558238,The Peak,18.1,14.1,16.1
437558238,The Peak,18.1,14.1,16.1
437558288,The Peak,18.1,14.1,16.1
437558288,The Peak,18.1,14.1,16.1
437558298,The Peak,18.1,14.1,16.1
437558298,The Peak,18.1,14.1,16.1
437558308,The Peak,18.1,14.1,16.1
437558308,The Peak,18.1,14.1,16.1
437558318,The Peak,18.1,14.1,16.1
437558318,The Peak,18.1,14.1,16.1
437558328,The Peak,18.1,14.1,16.1
437558328,The Peak,18.1,14.1,16.1
437558338,The Peak,18.2,14.1,16.15
437558338,The Peak,18.2,14.1,16.15
437558388,The Peak,18.3,14.1,16.2
437558388,The Peak,18.3,14.1,16.2
437558398,The Peak,18.6,14.1,16.35
437558398,The Peak,18.6,14.1,16.35
437558408,The Peak,18.6,14.1,16.35
437558408,The Peak,18.6,14.1,16.35
437558418,The Peak,18.6,14.1,16.35
437558418,The Peak,18.6,14.1,16.35
437558428,The Peak,18.6,14.1,16.35
437558428,The Peak,18.6,14.1,16.35
437558438,The Peak,18.7,14.1,16.4
437558438,The Peak,18.7,14.1,16.4
437558488,The Peak,18.7,14.1,16.4
437558488,The Peak,18.7,14.1,16.4
437558498,The Peak,18.8,14.1,16.45
437558498,The Peak,18.8,14.1,16.45
437558508,The Peak,18.8,14.1,16.45
437558508,The Peak,18.8,14.1,16.45
437558518,The Peak,19.3,14.1,16.7
437558518,The Peak,19.3,14.1,16.7
437558528,The Peak,19.3,14.1,16.7
437558528,The Peak,19.3,14.1,16.7
437558538,The Peak,19.3,14.1,16.7
437558538,The Peak,19.3,14.1,16.7
437558588,The Peak,19.3,14.1,16.7
437558588,The Peak,19.3,14.1,16.7
437558598,The Peak,19.3,14.1,16.7
437558598,The Peak,19.3,14.1,16.7
437558608,The Peak,19.3,14.1,16.7
437558608,The Peak,19.3,14.1,16.7
437558618,The Peak,19.3,14.1,16.7
437558618,The Peak,19.3,14.1,16.7
437558628,The Peak,19.3,14.1,16.7
437558628,The Peak,19.3,14.1,16.7
437558638,The Peak,19.3,14.1,16.7
437558638,The Peak,19.3,14.1,16.7
437558688,The Peak,19.3,14.1,16.7
437558688,The Peak,19.3,14.1,16.7
437558698,The Peak,19.3,14.1,16.7
437558698,The Peak,19.3,14.1,16.7
437558708,The Peak,19.3,14.1,16.7
437558708,The Peak,19.3,14.1,16.7
437558718,The Peak,19.3,14.1,16.7
437558718,The Peak,19.3,14.1,16.7
437558728,The Peak,19.3,14.1,16.7
437558728,The Peak,19.3,14.1,16.7
437558738,The Peak,19.3,14.1,16.7
437558738,The Peak,19.3,14.1,16.7
437558788,The Peak,19.3,14.1,16.7
437558788,The Peak,19.3,14.1,16.7
437558798,The Peak,19.3,14.1,16.7
437558798,The Peak,19.3,14.1,16.7
437558808,The Peak,19.3,14.1,16.7
437558808,The Peak,19.3,14.1,16.7
437558818,The Peak,19.3,14.1,16.7
437558818,The Peak,19.3,14.1,16.7
437558828,The Peak,19.3,14.1,16.7
437558828,The Peak,19.3,14.1,16.7
437558838,The Peak,19.3,14.1,16.7
437558838,The Peak,19.3,14.1,16.7
437558888,The Peak,19.3,14.1,16.7
437558888,The Peak,19.3,14.1,16.7
437558898,The Peak,19.3,14.1,16.7
437558898,The Peak,19.3,14.1,16.7
437558908,The Peak,19.3,14.1,16.7
437558908,The Peak,19.3,14.1,16.7
437558918,The Peak,19.3,14.1,16.7
437558918,The Peak,19.3,14.1,16.7
437558928,The Peak,19.3,14.1,16.7
437558928,The Peak,19.3,14.1,16.7
437558938,The Peak,19.3,14.1,16.7
437558938,The Peak,19.3,14.1,16.7
437558988,The Peak,19.3,14.1,16.7
