room,time,T_Out,Q_Ex,T_room,num_people_in_room,power_usage,Q_AC
0,0,15.329058060197362,0.0,15.335000000000582,0,0.0,0.0
0,1,15.361859545906299,-49.516165,15.334841497551798,0,0.0,0.0
0,2,15.365757772265622,225.1504,15.335562209459608,0,0.0,0.0
0,3,15.383868855342321,251.62969,15.33636768221889,0,0.0,0.0
0,4,15.383321893550747,395.84311,15.337634785643987,0,0.0,0.0
0,5,15.405696851081732,380.7259,15.338853498512105,0,0.0,0.0
0,6,15.42144738957069,557.02794,15.3406365584993,0,0.0,0.0
0,7,15.428218423029403,673.42359,15.342792203793794,0,0.0,0.0
0,8,15.436457150026936,711.88516,15.345070965509542,0,0.0,0.0
0,9,15.460533372502939,761.55154,15.347508710515944,0,0.0,0.0
0,10,15.45368170356736,941.87218,15.350523666277788,0,0.0,0.0
0,11,15.451069878629415,859.65031,15.353275427833486,0,0.0,0.0
0,12,15.447632812811618,814.95376,15.355884114645265,0,0.0,0.0
0,13,15.455885799027293,764.57248,15.3583315297541,0,0.0,0.0
0,14,15.44782535411572,812.95224,15.360933809651668,0,0.0,0.0
0,15,15.49311725794666,724.0962,15.363251659203524,0,0.0,0.0
0,16,15.527834770352143,1082.2133,15.366715850304676,0,0.0,0.0
0,17,15.56480826720205,1342.6577,15.371013730266263,0,0.0,0.0
0,18,15.585364509660785,1614.9545,15.376183238909029,0,0.0,0.0
0,19,15.631802832618693,1743.1773,15.38176319185397,0,0.0,0.0
0,20,15.661715251602782,2083.6637,15.388433050048592,0,0.0,0.0
0,21,15.692015979169824,2277.3517,15.395722908243215,0,0.0,0.0
0,22,15.720314878895515,2469.1089,15.403626585900065,0,0.0,0.0
0,23,15.753541874903561,2639.0691,15.412074310291871,0,0.0,0.0
0,24,15.77877343886219,2845.563,15.421183026681115,0,0.0,0.0
0,25,15.846178409893644,2979.9201,15.43072182341607,0,0.0,0.0
0,26,15.904732955826445,3462.1382,15.441804212020424,0,0.0,0.0
0,27,15.96326665068884,3857.7395,15.45415293001018,0,0.0,0.0
0,28,16.013500403368873,4242.6143,15.467733641597889,0,0.0,0.0
0,29,16.07996370676926,4548.0563,15.482292080458324,0,0.0,0.0
0,30,16.134026990999224,4980.5969,15.498235092302114,0,0.0,0.0
0,31,16.189258502772166,5298.2658,15.515194970022984,0,0.0,0.0
0,32,16.242821824677318,5617.1961,15.533175751393022,0,0.0,0.0
0,33,16.300491893484427,5913.7173,15.552105704337965,0,0.0,0.0
0,34,16.35149910225035,6236.5516,15.572069057731051,0,0.0,0.0
0,35,16.358463845300143,6495.2504,15.592860512276506,0,0.0,0.0
0,36,16.379140470097525,6380.0278,15.61328313647625,0,0.0,0.0
0,37,16.399842116179393,6382.1444,15.633712535964086,0,0.0,0.0
0,38,16.430503692880084,6384.4132,15.654149197935917,0,0.0,0.0
0,39,16.441689808716383,6469.6208,15.67485861150826,0,0.0,0.0
0,40,16.467755947557155,6390.26,15.69531398922913,0,0.0,0.0
0,41,16.492420213346364,6437.0163,15.715919035003777,0,0.0,0.0
0,42,16.51908630697692,6470.8432,15.736632361508258,0,0.0,0.0
0,43,16.540824304325124,6520.4495,15.757504478985851,0,0.0,0.0
0,44,16.57055773372274,6527.6652,15.778399694094686,0,0.0,0.0
0,45,16.558117756047537,6601.317,15.799530670407107,0,0.0,0.0
0,46,16.55452820347098,6321.559,15.819766134555634,0,0.0,0.0
0,47,16.550959501964837,6123.0172,15.83936606157228,0,0.0,0.0
0,48,16.55569074264105,5929.9453,15.858347960740014,0,0.0,0.0
0,49,16.544192432596912,5811.1898,15.87694972066319,0,0.0,0.0
0,50,16.545094141723194,5560.3559,15.894748555170231,0,0.0,0.0
0,51,16.544827623306503,5419.5466,15.912096655682396,0,0.0,0.0
0,52,16.5462292947576,5272.7581,15.92897488263502,0,0.0,0.0
0,53,16.543524219306736,5143.7868,15.945440269318759,0,0.0,0.0
0,54,16.547482003897063,4984.0329,15.961394279882139,0,0.0,0.0
0,55,16.54874895948282,4884.0644,15.977028288845007,0,0.0,0.0
0,56,16.54874895948282,4764.3389,15.99227905356972,0,0.0,0.0
0,57,16.54874895948282,4637.2492,16.00712300107292,0,0.0,0.0
0,58,16.54874895948282,4513.5497,16.021570983467285,0,0.0,0.0
0,59,16.54874895948282,4393.1498,16.035633562852688,0,0.0,0.0
0,60,16.54874895948282,4275.9616,16.049321019958963,0,0.0,0.0
0,61,16.54874895948282,4161.8995,16.062643361508258,0,0.0,0.0
0,62,16.54874895948282,4050.88,16.075610326937195,0,0.0,0.0
0,63,16.54874895948282,3942.8219,16.08823139575922,0,0.0,0.0
0,64,16.54874895948282,3837.6464,16.100515795247055,0,0.0,0.0
0,65,16.54874895948282,3735.2764,16.112472505874457,0,0.0,0.0
0,66,16.54874895948282,3635.6371,16.124110268678553,0,0.0,0.0
0,67,16.54874895948282,3538.6558,16.13543759198201,0,0.0,0.0
0,68,16.54874895948282,3444.2614,16.146462756514662,0,0.0,0.0
0,69,16.54874895948282,3352.385,16.157193822455763,0,0.0,0.0
0,70,16.54874895948282,3262.9595,16.16763863519584,0,0.0,0.0
0,71,16.54874895948282,3175.9194,16.177804830458324,0,0.0,0.0
0,72,16.54874895948282,3091.2011,16.1876998403815,0,0.0,0.0
0,73,16.54874895948282,3008.7427,16.197330898960246,0,0.0,0.0
0,74,16.54874895948282,2928.4838,16.20670504684757,0,0.0,0.0
0,75,16.54874895948282,2850.3659,16.215829137436558,0,0.0,0.0
0,76,16.54874895948282,2774.3319,16.224709841341806,0,0.0,0.0
0,77,16.54874895948282,2700.326,16.233353650560755,0,0.0,0.0
0,78,16.54874895948282,2628.2942,16.24176688423553,0,0.0,0.0
0,79,16.54874895948282,2558.184,16.24995569345448,0,0.0,0.0
0,80,16.54874895948282,2489.9439,16.2579260644532,0,0.0,0.0
0,81,16.54874895948282,2423.5241,16.265683824056275,0,0.0,0.0
0,82,16.54874895948282,2358.8761,16.273234643838606,0,0.0,0.0
0,83,16.54874895948282,2295.9526,16.28058404396665,0,0.0,0.0
0,84,16.54874895948282,2234.7076,16.287737397359734,2,0.0,0.0
0,85,16.54874895948282,2175.0964,16.294699933851412,3,0.0,0.0
0,86,16.54874895948282,2117.0752,19.20640632053515,4,330000.0,907500.0
0,87,16.54874895948282,-22147.145,22.040442348063962,6,330000.0,907500.0
0,88,16.54874895948282,-45764.112,23.999999992110055,8,239247.24363636362,657929.92
0,89,16.54874895948282,-62093.759,23.999999998512102,10,22579.549454545453,62093.761
0,90,16.54874895948282,-62093.759,23.999999998512102,12,22579.548727272726,62093.759
0,91,16.54874895948282,-62093.759,23.999999998512102,12,22579.548727272726,62093.759
0,92,16.54874895948282,-62093.759,23.999999998512102,14,22579.548727272726,62093.759
0,93,16.54874895948282,-62093.759,23.999999998512102,16,22579.548727272726,62093.759
0,94,16.54874895948282,-62093.759,23.999999998512102,16,22579.548727272726,62093.759
0,95,16.54874895948282,-62093.759,23.999999998512102,18,22579.548727272726,62093.759
0,96,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,97,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,98,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,99,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,100,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,101,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,102,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
0,103,16.54874895948282,-62093.759,23.999999998512102,22,22579.548727272726,62093.759
