room,time,T_Out,Q_Ex,T_room,num_people_in_room,power_usage,Q_AC
0,0,30.107940249298906,0.0,30.106999999999243,0,0.0,0.0
0,1,30.09525685263713,-97.85956135092515,30.10668674916265,0,0.0,0.0
0,2,30.0849967875339,-180.74968023960025,30.106108165038965,0,0.0,0.0
0,3,30.073940275805345,-268.06574361349556,30.105250080072214,0,0.0,0.0
0,4,30.073432099677134,-265.1498366256592,30.104401328994665,0,0.0,0.0
0,5,30.06917564079159,-293.54740169228086,30.10346167662049,0,0.0,0.0
0,6,30.062035243991996,-345.22027190411944,30.10235661813168,0,0.0,0.0
0,7,30.055955736509514,-386.6740135180476,30.101118865207486,0,0.0,0.0
0,8,30.050388059026396,-422.7567181757467,30.09976561066787,0,0.0,0.0
0,9,30.044967821381228,-456.64824405535023,30.09830386852941,0,0.0,0.0
0,10,30.016476482779414,-681.894881249967,30.096121106425535,0,0.0,0.0
0,11,29.995931416634992,-834.9140815878601,30.09344852613876,0,0.0,0.0
0,12,29.993169370494805,-835.659630366307,30.09077355933221,0,0.0,0.0
0,13,29.98311968795461,-897.115594813336,30.087901870488377,0,0.0,0.0
0,14,29.981409189891824,-887.4390049712727,30.085061156644038,0,0.0,0.0
0,15,29.977220960842,-898.66829835031,30.08218449755841,0,0.0,0.0
0,16,29.969983789515954,-935.0059003537878,30.079191520924752,0,0.0,0.0
0,17,29.964366332828344,-956.8765674700627,30.076128535753593,0,0.0,0.0
0,18,29.958446904080226,-980.6802639447259,30.07298935437093,0,0.0,0.0
0,19,29.953252901221227,-997.803776247519,30.069795360208804,0,0.0,0.0
0,20,29.935970750267096,-1115.20508284757,30.06622556160814,0,0.0,0.0
0,21,29.92239332313854,-1198.6019872466613,30.062388807487633,0,0.0,0.0
0,22,29.92409200164938,-1152.4733819854307,30.058699712154773,0,0.0,0.0
0,23,29.919678593192124,-1158.5093246887427,30.05499129562248,0,0.0,0.0
0,24,29.90126348751082,-1281.0650675971463,30.050890575175625,0,0.0,0.0
0,25,29.888118040054653,-1356.4377926747657,30.046548584802146,0,0.0,0.0
0,26,29.88948828107061,-1308.835864429477,30.04235896935903,0,0.0,0.0
0,27,29.885536923408193,-1306.8503829236338,30.038175709490517,0,0.0,0.0
0,28,29.878048621315816,-1334.392401455838,30.033904286950644,0,0.0,0.0
0,29,29.872460797497787,-1345.3624121071427,30.029597749139803,0,0.0,0.0
0,30,29.877990732989943,-1263.3918012488366,30.025553601248482,0,0.0,0.0
