room,time,T_Out,Q_Ex,T_room,num_people_in_room,power_usage,Q_AC
0,0,30.107940249298906,0.0,30.106999999999243,0,0.0,0.0
0,1,30.09525685263713,7.8354108,30.10702508133983,0,0.0,0.0
0,2,30.0849967875339,-98.068573,30.106711161451866,0,0.0,0.0
0,3,30.073940275805345,-180.95312,30.106131926112557,0,0.0,0.0
0,4,30.073432099677134,-268.26375,30.105273207322544,0,0.0,0.0
0,5,30.06917564079159,-265.34256,30.104423839332785,0,0.0,0.0
0,6,30.062035243991996,-293.73499,30.103483586483872,0,0.0,0.0
0,7,30.055955736509514,-345.40285,30.102377943558135,0,0.0,0.0
0,8,30.050388059026396,-386.85173,30.10113962175916,0,0.0,0.0
0,9,30.044967821381228,-422.92969,30.099785813532527,0,0.0,0.0
0,10,30.016476482779414,-456.8166,30.098323532482592,0,0.0,0.0
0,11,29.995931416634992,-682.05875,30.096140245830863,0,0.0,0.0
0,12,29.993169370494805,-835.07358,30.09346715498579,0,0.0,0.0
0,13,29.98311968795461,-835.81487,30.090791691253397,0,0.0,0.0
0,14,29.981409189891824,-897.26669,30.087919518750198,0,0.0,0.0
0,15,29.977220960842,-887.58607,30.085078334147124,0,0.0,0.0
0,16,29.969983789515954,-898.81144,30.08220121686159,0,0.0,0.0
0,17,29.964366332828344,-935.14523,30.07920779423035,0,0.0,0.0
0,18,29.958446904080226,-957.01218,30.076144374960183,0,0.0,0.0
0,19,29.953252901221227,-980.81226,30.073004771054933,0,0.0,0.0
0,20,29.935970750267096,-997.93225,30.069810365645203,0,0.0,0.0
0,21,29.92239332313854,-1115.3301,30.066240166861594,0,0.0,0.0
0,22,29.92409200164938,-1198.7237,30.0624030231356,0,0.0,0.0
0,23,29.919678593192124,-1152.5918,30.058713548743796,0,0.0,0.0
0,24,29.90126348751082,-1158.6246,30.055004763212427,0,0.0,0.0
0,25,29.888118040054653,-1281.1773,30.05090368350692,0,0.0,0.0
0,26,29.88948828107061,-1356.547,30.046561343558135,0,0.0,0.0
0,27,29.885536923408193,-1308.9422,30.04237138773227,0,0.0,0.0
0,28,29.878048621315816,-1306.9539,30.038187796503077,0,0.0,0.0
0,29,29.872460797497787,-1334.4931,30.033916051624715,0,0.0,0.0
0,30,29.877990732989943,-1345.4605,30.02960919983214,0,0.0,0.0
0,31,29.87931189957399,-1263.4872,30.025564746567095,0,0.0,0.0
0,32,29.866629207685257,-1218.7737,30.02166342230333,0,0.0,0.0
0,33,29.859415554312832,-1291.9518,30.017527853161205,0,0.0,0.0
0,34,29.877781963830152,-1317.6025,30.013310175504355,0,0.0,0.0
0,35,29.886405503522422,-1129.4018,30.00969493286671,0,0.0,0.0
0,36,29.889284995232575,-1027.4119,30.006406162380156,0,0.0,0.0
0,37,29.89471446905065,-976.00973,30.00328193149027,0,0.0,0.0
0,38,29.889516233282183,-904.72885,30.000385872431373,0,0.0,0.0
0,39,29.887624954849542,-923.91366,29.99742840232894,0,0.0,0.0
0,40,29.900573003546384,-915.02873,29.994499373103586,0,0.0,0.0
0,41,29.90810161144076,-782.71975,29.991993868142,0,0.0,0.0
0,42,29.889758763270958,-699.10214,29.989756025184253,0,0.0,0.0
0,43,29.880043974069036,-833.31052,29.987088577937133,0,0.0,0.0
0,44,29.889138026117795,-892.03837,29.984233141413444,0,0.0,0.0
0,45,29.89103994115168,-792.45929,29.981696459947376,0,0.0,0.0
0,46,29.87791012889546,-755.47099,29.97927817892945,0,0.0,0.0
0,47,29.870774903707208,-844.73375,29.9765741656452,0,0.0,0.0
0,48,29.8664997885872,-881.66052,29.973751948871833,0,0.0,0.0
0,49,29.86073558067631,-893.768,29.970890975760437,0,0.0,0.0
0,50,29.854832357497376,-917.96163,29.967952558250833,0,0.0,0.0
0,51,29.849716782822526,-942.66834,29.96493505396146,0,0.0,0.0
0,52,29.854907326646774,-960.15226,29.961861583218823,0,0.0,0.0
0,53,29.856267707322907,-891.28547,29.95900855674635,0,0.0,0.0
0,54,29.83226425311552,-856.17375,29.95626792374379,0,0.0,0.0
0,55,29.817856725941517,-1033.3639,29.952960100760436,0,0.0,0.0
0,56,29.809274668306443,-1125.8615,29.94935619070922,0,0.0,0.0
0,57,29.79796290604833,-1167.346,29.94561948776428,0,0.0,0.0
0,58,29.808857219042462,-1230.4715,29.941680718558132,0,0.0,0.0
0,59,29.811971363100856,-1106.8625,29.938137624768117,0,0.0,0.0
0,60,29.684953717124515,-1051.3855,29.934772114204737,0,0.0,0.0
0,61,29.60400272140252,-2081.82,29.928108157738667,0,0.0,0.0
0,62,29.46737713289819,-2700.8786,29.919462579633674,0,0.0,0.0
0,63,29.347376078655863,-3767.3787,29.907403108762995,0,0.0,0.0
0,64,29.21495148663756,-4666.8919,29.892464274255953,0,0.0,0.0
0,65,29.08483094504093,-5645.9399,29.874391483282842,0,0.0,0.0
0,66,28.984548655108192,-6579.6712,29.853329795702816,0,0.0,0.0
0,67,28.87425079477537,-7239.8428,29.830154882770678,0,0.0,0.0
0,68,28.810733904582083,-7965.8674,29.80465594743137,0,0.0,0.0
0,69,28.737497393315255,-8282.6837,29.778142875408324,0,0.0,0.0
0,70,28.718939294177016,-8672.0457,29.750383446150963,0,0.0,0.0
0,71,28.68678903442129,-8595.3679,29.7228694643968,0,0.0,0.0
0,72,28.651060842462332,-8634.0036,29.695231808827018,0,0.0,0.0
0,73,28.619626086850417,-8701.4247,29.66737833667593,0,0.0,0.0
0,74,28.593999318791102,-8731.2687,29.639429333154805,0,0.0,0.0
