room,time,T_Out,Q_Ex,T_room,num_people_in_room,power_usage,Q_AC
0,0,15.329058060197362,0.0,15.335000000000582,0,0.0,0.0
0,1,15.361859545906299,223.82954921430868,16.78818127256529,0,165000.0,453750.0
0,2,15.365757772265622,-11853.529169163892,18.202702626057082,0,165000.0,453750.0
0,3,15.383868855342321,-23490.281422623008,19.579974452489147,0,165000.0,453750.0
0,4,15.383321893550747,-34972.104657820004,20.92049268341802,0,165000.0,453750.0
0,5,15.405696851081732,-45956.63193613573,22.225849175299786,0,165000.0,453750.0
0,6,15.42144738957069,-56703.34821440914,23.496805166930997,0,165000.0,453750.0
0,7,15.428218423029403,-67238.22286584662,24.734038768512793,0,165000.0,453750.0
0,8,15.436457150026936,-77479.84682071548,24.486023893926635,0,0.0,0.0
0,9,15.460533372502939,-75212.42101186415,24.24526710451606,0,0.0,0.0
0,10,15.45368170356736,-73263.2116745725,24.0107497816141,0,0.0,0.0
0,11,15.451069878629415,-71330.6658582057,23.782418584884887,0,0.0,0.0
0,12,15.447632812811618,-69456.54810061058,23.56008648469087,0,0.0,0.0
0,13,15.455885799027293,-67535.00571386315,23.343905288423702,0,0.0,0.0
0,14,15.44782535411572,-65800.66611923318,24.58574054412398,0,165000.0,453750.0
0,15,15.49311725794666,-75771.86071814434,24.34319297460367,0,0.0,0.0
0,16,15.527834770352143,-73461.31836876273,24.10804150735411,0,0.0,0.0
0,17,15.56480826720205,-71193.6103346005,23.880149028690216,0,0.0,0.0
0,18,15.585364509660785,-69123.20432524526,23.65888397003066,0,0.0,0.0
0,19,15.631802832618693,-66892.34281176642,23.44475995334767,0,0.0,0.0
0,20,15.661715251602782,-64858.70584787407,24.689610446792376,0,165000.0,453750.0
0,21,15.692015979169824,-74979.9538968546,24.449597790272353,0,0.0,0.0
0,22,15.720314878895515,-72744.02426147366,24.2167423989104,0,0.0,0.0
0,23,15.753541874903561,-70526.67103339035,23.990984809174837,0,0.0,0.0
0,24,15.77877343886219,-68435.0947526054,23.771922405997483,0,0.0,0.0
0,25,15.846178409893644,-66047.86663419867,23.56050157810312,0,0.0,0.0
0,26,15.904732955826445,-63798.07185230564,23.356282398038122,0,0.0,0.0
0,27,15.96326665068884,-61608.464561244014,24.6115369929125,0,165000.0,453750.0
0,28,16.013500403368873,-71650.30491286358,24.38218262379322,0,0.0,0.0
0,29,16.07996370676926,-69185.15764186635,24.160719251059973,0,0.0,0.0
0,30,16.134026990999224,-66889.10216717291,23.946605607759164,0,0.0,0.0
0,31,16.189258502772166,-64644.55920822499,23.739676801074705,0,0.0,0.0
0,32,16.242821824677318,-62473.791469978234,23.539696674730344,0,0.0,0.0
0,33,16.300491893484427,-60326.70651038264,23.34658941957547,0,0.0,0.0
0,34,16.35149910225035,-58292.419311042664,24.61245875596778,0,165000.0,453750.0
0,35,16.358463845300143,-68783.29092223031,24.392281768380613,0,0.0,0.0
0,36,16.379140470097525,-66776.1774856924,24.17852959973243,0,0.0,0.0
0,37,16.399842116179393,-64822.3956962753,23.97103153412335,0,0.0,0.0
0,38,16.430503692880084,-62837.732010360574,23.76988642525536,0,0.0,0.0
0,39,16.441689808716383,-61068.30513782482,23.574405294852593,0,0.0,0.0
0,40,16.467755947557155,-59222.07789412865,23.384833982771514,0,0.0,0.0
0,41,16.492420213346364,-57436.781411876254,24.65344223689483,0,165000.0,453750.0
0,42,16.51908630697692,-67786.29941598258,24.43645664337376,0,0.0,0.0
0,43,16.540824304325124,-65796.93615873864,24.225839050035926,0,0.0,0.0
0,44,16.57055773372274,-63794.010969276555,24.021632868956296,0,0.0,0.0
0,45,16.558117756047537,-62195.95927423966,23.822542090229536,0,0.0,0.0
0,46,16.55452820347098,-60566.78238965464,23.6286663463446,0,0.0,0.0
0,47,16.550959501964837,-58980.89036983135,23.439867081396354,0,0.0,0.0
0,48,16.55569074264105,-57368.1361562942,24.708695070652773,0,165000.0,453750.0
0,49,16.544192432596912,-68037.52198379886,24.490905307580434,0,0.0,0.0
0,50,16.545094141723194,-66215.09304881033,24.27894918386465,0,0.0,0.0
0,51,16.544827623306503,-64451.013004651235,24.07263992328638,0,0.0,0.0
0,52,16.5462292947576,-62720.088571073175,23.871871393929553,0,0.0,0.0
0,53,16.543524219306736,-61069.559788523475,23.676386247359375,0,0.0,0.0
0,54,16.547482003897063,-59407.53536218594,23.486221281411275,0,0.0,0.0
0,55,16.54874895948282,-57812.26934940382,24.753627589511776,0,165000.0,453750.0
0,56,16.54874895948282,-68373.98858357465,24.534760788668066,0,0.0,0.0
0,57,16.54874895948282,-66550.09857654374,24.321732304108068,0,0.0,0.0
0,58,16.54874895948282,-64774.861205210414,24.1143863975613,0,0.0,0.0
0,59,16.54874895948282,-63046.978650654026,23.91257148510722,0,0.0,0.0
0,60,16.54874895948282,-61365.187713536696,23.716140026357102,0,0.0,0.0
0,61,16.54874895948282,-59728.25889061904,23.524948416591997,0,0.0,0.0
0,62,16.54874895948282,-58134.995475909825,23.338856881777943,0,0.0,0.0
0,63,16.54874895948282,-56584.23268579271,24.610194165114073,0,165000.0,453750.0
0,64,16.54874895948282,-67178.71004692712,24.395153479944653,0,0.0,0.0
0,65,16.54874895948282,-65386.70433718197,24.185849048647658,0,0.0,0.0
0,66,16.54874895948282,-63642.50074304033,23.982127855488116,0,0.0,0.0
0,67,16.54874895948282,-61944.824133377486,23.783840966456818,0,0.0,0.0
0,68,16.54874895948282,-60292.43339145,23.590843420389437,0,0.0,0.0
0,69,16.54874895948282,-58684.120507555155,23.40299412299009,0,0.0,0.0
0,70,16.54874895948282,-57118.709695893944,24.672620532414246,0,165000.0,453750.0
0,71,16.54874895948282,-67698.92977442857,24.4559146112413,0,0.0,0.0
0,72,16.54874895948282,-65893.04709798736,24.244989364448767,0,0.0,0.0
0,73,16.54874895948282,-64135.336708049574,24.039690591375624,0,0.0,0.0
0,74,16.54874895948282,-62424.51359910672,23.839868204694746,0,0.0,0.0
0,75,16.54874895948282,-60759.327043432735,23.64537612068888,0,0.0,0.0
0,76,16.54874895948282,-59138.55967671718,23.45607215245355,0,0.0,0.0
0,77,16.54874895948282,-57561.02660808944,24.72428269468118,0,165000.0,453750.0
0,78,16.54874895948282,-68129.44779331968,24.50619867485621,0,0.0,0.0
0,79,16.54874895948282,-66312.08096144495,24.293932090472584,0,0.0,0.0
0,80,16.54874895948282,-64543.19275824805,24.08732776026052,0,0.0,0.0
0,81,16.54874895948282,-62821.49000648087,23.88623464244208,0,0.0,0.0
0,82,16.54874895948282,-61145.71402466052,23.690505724309364,0,0.0,0.0
0,83,16.54874895948282,-59514.639706887894,23.499997914748263,0,0.0,0.0
0,84,16.54874895948282,-57927.07462721205,24.76703672836154,2,165000.0,453750.0
0,85,16.54874895948282,-68485.73140732267,24.547812236020558,3,0.0,0.0
0,86,16.54874895948282,-66658.8606378145,24.33443560145649,4,0.0,0.0
0,87,16.54874895948282,-64880.722016447275,24.126750831877594,6,0.0,0.0
0,88,16.54874895948282,-63150.0156032898,23.924606095631468,8,0.0,0.0
0,89,16.54874895948282,-61465.47613457208,23.72785361120582,10,0.0,0.0
0,90,16.54874895948282,-59825.87209769168,23.536349539190162,12,0.0,0.0
0,91,16.54874895948282,-58230.00483089453,23.349953877119436,12,0.0,0.0
0,92,16.54874895948282,-56676.707646971816,24.620995145855122,14,165000.0,453750.0
0,93,16.54874895948282,-67268.7182197692,24.405666342334733,16,0.0,0.0
0,94,16.54874895948282,-65474.311523765966,24.19608147830219,16,0.0,0.0
0,95,16.54874895948282,-63727.770990161436,23.99208733300718,18,0.0,0.0
0,96,16.54874895948282,-62027.819779369696,23.79353477289396,22,0.0,0.0
0,97,16.54874895948282,-60373.21511175951,23.600278642574626,22,0.0,0.0
0,98,16.54874895948282,-58762.7473590984,23.412177658710675,22,0.0,0.0
0,99,16.54874895948282,-57195.239160232144,24.68155909545769,22,165000.0,453750.0
0,100,16.54874895948282,-67773.4177997906,24.46461473630343,22,0.0,0.0
0,101,16.54874895948282,-65965.54814017178,24.253457411911075,22,0.0,0.0
0,102,16.54874895948282,-64205.903770235476,24.047932751955134,22,0.0,0.0
